group_number,product_tp,credit_seg,fico_grp,SA_SE,used_in_3mth,okr_type,quarter,okr,modified_okr,remark,cohort_type,n_M00,a_lmt_M00,current_pct_bad,reduced_ratio
65,CC,1]NTB,01]No-FICO,ALL,N,a_lmt_91pM04,q3,0.0,0.0,filled_by_consolidated_okr,CP,5326.0,299785000.0,0.0,0.8694525217921854
66,CC,1]NTB,01]No-FICO,ALL,N,a_lmt_91pM04,q4,0.0,0.0,filled_by_consolidated_okr,CP,5326.0,299785000.0,0.0,0.7895028646158924
67,CC,1]NTB,01]No-FICO,ALL,N,a_lmt_61pM03,q2,0.0,0.0,filled_by_consolidated_okr,CP,5326.0,299785000.0,0.0,0.9490580077486886
68,CC,1]NTB,01]No-FICO,ALL,N,a_lmt_61pM03,q3,0.0,0.0,filled_by_consolidated_okr,CP,5326.0,299785000.0,0.0,0.8694390473670873
69,CC,1]NTB,01]No-FICO,ALL,N,a_lmt_61pM03,q4,0.0,0.0,filled_by_consolidated_okr,CP,5326.0,299785000.0,0.0,0.7898200869854859
70,CC,1]NTB,01]No-FICO,ALL,N,a_lmt_fpd,q2,0.0,0.0,filled_by_consolidated_okr,CP,5326.0,299785000.0,0.0,0.9483683956222562
71,CC,1]NTB,01]No-FICO,ALL,N,a_lmt_fpd,q3,0.0,0.0,filled_by_consolidated_okr,CP,5326.0,299785000.0,0.0,0.8697388670512062
72,CC,1]NTB,01]No-FICO,ALL,N,a_lmt_fpd,q4,0.0,0.0,filled_by_consolidated_okr,CP,5326.0,299785000.0,0.0,0.7895046542236042
73,CC,1]NTB,01]No-FICO,ALL,ALL,a_lmt_91pM04,q2,0.20517933327493817,0.20517933327493817,nan,CP,11457.0,795917000.0,0.2161142430680586,0.9494021789684782
74,CC,1]NTB,01]No-FICO,ALL,ALL,a_lmt_91pM04,q3,0.18790107363073286,0.18790107363073286,nan,CP,11457.0,795917000.0,0.2161142430680586,0.8694525217921854
75,CC,1]NTB,01]No-FICO,ALL,ALL,a_lmt_91pM04,q4,0.1706228139865275,0.1706228139865275,nan,CP,11457.0,795917000.0,0.2161142430680586,0.7895028646158924
76,CC,1]NTB,01]No-FICO,ALL,ALL,a_lmt_61pM03,q2,0.20754938991217553,0.20754938991217553,nan,CP,11457.0,795917000.0,0.21868988851852644,0.9490580077486886
77,CC,1]NTB,01]No-FICO,ALL,ALL,a_lmt_61pM03,q3,0.19013752834236217,0.19013752834236217,nan,CP,11457.0,795917000.0,0.21868988851852644,0.8694390473670873
78,CC,1]NTB,01]No-FICO,ALL,ALL,a_lmt_61pM03,q4,0.17272566677254877,0.17272566677254877,nan,CP,11457.0,795917000.0,0.21868988851852644,0.7898200869854859
79,CC,1]NTB,01]No-FICO,ALL,ALL,a_lmt_fpd,q2,0.24436139770128332,0.24436139770128332,nan,CP,11457.0,795917000.0,0.25766505803997153,0.9483683956222562
80,CC,1]NTB,01]No-FICO,ALL,ALL,a_lmt_fpd,q3,0.22410131565836813,0.22410131565836813,nan,CP,11457.0,795917000.0,0.25766505803997153,0.8697388670512062
81,CC,1]NTB,01]No-FICO,ALL,ALL,a_lmt_fpd,q4,0.20342776255335263,0.20342776255335263,nan,CP,11457.0,795917000.0,0.25766505803997153,0.7895046542236042
82,CC,1]NTB,02]FICO,01]SA,Y,a_lmt_91pM04,q2,0.03118291003395128,0.03118291003395128,nan,CP,18901.0,933786000.0,0.032844784565200166,0.9494021789684782
83,CC,1]NTB,02]FICO,01]SA,Y,a_lmt_91pM04,q3,0.02855698076793433,0.02855698076793433,nan,CP,18901.0,933786000.0,0.032844784565200166,0.8694525217921854
84,CC,1]NTB,02]FICO,01]SA,Y,a_lmt_91pM04,q4,0.02593105150191738,0.02593105150191738,nan,CP,18901.0,933786000.0,0.032844784565200166,0.7895028646158924
85,CC,1]NTB,02]FICO,01]SA,Y,a_lmt_61pM03,q2,0.034235915928290395,0.034235915928290395,nan,CP,18901.0,933786000.0,0.03607357574433542,0.9490580077486886
86,CC,1]NTB,02]FICO,01]SA,Y,a_lmt_61pM03,q3,0.03136377533027946,0.03136377533027946,nan,CP,18901.0,933786000.0,0.03607357574433542,0.8694390473670873
87,CC,1]NTB,02]FICO,01]SA,Y,a_lmt_61pM03,q4,0.02849163473226852,0.02849163473226852,nan,CP,18901.0,933786000.0,0.03607357574433542,0.7898200869854859
88,CC,1]NTB,02]FICO,01]SA,Y,a_lmt_fpd,q2,0.10544129686405947,0.10544129686405947,nan,CP,18901.0,933786000.0,0.11118179111702253,0.9483683956222562
89,CC,1]NTB,02]FICO,01]SA,Y,a_lmt_fpd,q3,0.09669912504284303,0.09669912504284303,nan,CP,18901.0,933786000.0,0.11118179111702253,0.8697388670512062
90,CC,1]NTB,02]FICO,01]SA,Y,a_lmt_fpd,q4,0.08777854155180585,0.08777854155180585,nan,CP,18901.0,933786000.0,0.11118179111702253,0.7895046542236042
91,CC,1]NTB,02]FICO,01]SA,N,a_lmt_91pM04,q2,0.0,0.0,filled_by_consolidated_okr,CP,27107.0,1369579000.0,0.0,0.9494021789684782
